Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref 1,Footprint Path 1,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RESCRFL-0011,Resistor,PTH-2.3x6mm Axial,6.8,5%,1/4W,Carbon Film,Resistor 6.8 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT6R80,Digi-key,CF14JT6R80CT-ND,Yageo,CFR-25BJ-52-6R8,Digi-key,6.8QBK-ND,Stackpole Electronics Inc.,CFF14JT6R80,Digi-key,CFF14JT6R80CT-ND
RESCRFL-0012,Resistor,PTH-2.3x6mm Axial,8.2,5%,1/4W,Carbon Film,Resistor 8.2 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT8R20,Digi-key,CF14JT8R20CT-ND,Yageo,CFR-25BJ-52-8R2,Digi-key,8.2QBK-ND,Stackpole Electronics Inc.,CFF14JT8R20,Digi-key,CFF14JT8R20CT-ND
RESCRFL-0013,Resistor,PTH-2.3x6mm Axial,10,5%,1/4W,Carbon Film,Resistor 10 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT10R0,Digi-key,CF14JT10R0CT-ND,Yageo,CFR-25BJ-52-10R,Digi-key,10QBK-ND,Stackpole Electronics Inc.,CFF14JT10R0,Digi-key,CFF14JT10R0CT-ND
RESCRFL-0014,Resistor,PTH-2.3x6mm Axial,12,5%,1/4W,Carbon Film,Resistor 12 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT12R0,Digi-key,CF14JT12R0CT-ND,Yageo,CFR-25BJ-52-12R,Digi-key,12QBK-ND,Stackpole Electronics Inc.,CFF14JT12R0,Digi-key,CFF14JT12R0CT-ND
RESCRFL-0015,Resistor,PTH-2.3x6mm Axial,15,5%,1/4W,Carbon Film,Resistor 15 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT15R0,Digi-key,CF14JT15R0CT-ND,Yageo,CFR-25BJ-52-15R,Digi-key,15QBK-ND,Stackpole Electronics Inc.,CFF14JT15R0,Digi-key,CFF14JT15R0CT-ND
RESCRFL-0016,Resistor,PTH-2.3x6mm Axial,18,5%,1/4W,Carbon Film,Resistor 18 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT18R0,Digi-key,CF14JT18R0CT-ND,Yageo,CFR-25BJ-52-18R,Digi-key,18QBK-ND,Stackpole Electronics Inc.,CFF14JT18R0,Digi-key,CFF14JT18R0CT-ND
RESCRFL-0017,Resistor,PTH-2.3x6mm Axial,22,5%,1/4W,Carbon Film,Resistor 22 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT22R0,Digi-key,CF14JT22R0CT-ND,Yageo,CFR-25BJ-52-22R,Digi-key,22QBK-ND,Stackpole Electronics Inc.,CFF14JT22R0,Digi-key,CFF14JT22R0CT-ND
RESCRFL-0018,Resistor,PTH-2.3x6mm Axial,27,5%,1/4W,Carbon Film,Resistor 27 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT27R0,Digi-key,CF14JT27R0CT-ND,Yageo,CFR-25BJ-52-27R,Digi-key,27QBK-ND,Stackpole Electronics Inc.,CFF14JT27R0,Digi-key,CFF14JT27R0CT-ND
RESCRFL-0019,Resistor,PTH-2.3x6mm Axial,33,5%,1/4W,Carbon Film,Resistor 33 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT33R0,Digi-key,CF14JT33R0CT-ND,Yageo,CFR-25BJ-52-33R,Digi-key,33QBK-ND,Stackpole Electronics Inc.,CFF14JT33R0,Digi-key,CFF14JT33R0CT-ND
RESCRFL-0020,Resistor,PTH-2.3x6mm Axial,39,5%,1/4W,Carbon Film,Resistor 39 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT39R0,Digi-key,CF14JT39R0CT-ND,Yageo,CFR-25BJ-52-39R,Digi-key,39QBK-ND,Stackpole Electronics Inc.,CFF14JT39R0,Digi-key,CFF14JT39R0CT-ND
RESCRFL-0021,Resistor,PTH-2.3x6mm Axial,47,5%,1/4W,Carbon Film,Resistor 47 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT47R0,Digi-key,CF14JT47R0CT-ND,Yageo,CFR-25BJ-52-47R,Digi-key,47QBK-ND,Stackpole Electronics Inc.,CFF14JT47R0,Digi-key,CFF14JT47R0CT-ND
RESCRFL-0022,Resistor,PTH-2.3x6mm Axial,56,5%,1/4W,Carbon Film,Resistor 56 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT56R0,Digi-key,CF14JT56R0CT-ND,Yageo,CFR-25BJ-52-56R,Digi-key,56QBK-ND,Stackpole Electronics Inc.,CFF14JT56R0,Digi-key,CFF14JT56R0CT-ND
RESCRFL-0023,Resistor,PTH-2.3x6mm Axial,68,5%,1/4W,Carbon Film,Resistor 68 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT68R0,Digi-key,CF14JT68R0CT-ND,Yageo,CFR-25BJ-52-68R,Digi-key,68QBK-ND,Stackpole Electronics Inc.,CFF14JT68R0,Digi-key,CFF14JT68R0CT-ND
RESCRFL-0024,Resistor,PTH-2.3x6mm Axial,82,5%,1/4W,Carbon Film,Resistor 82 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT82R0,Digi-key,CF14JT82R0CT-ND,Yageo,CFR-25BJ-52-82R,Digi-key,82QBK-ND,Stackpole Electronics Inc.,CFF14JT82R0,Digi-key,CFF14JT82R0CT-ND
RESCRFL-0025,Resistor,PTH-2.3x6mm Axial,100,5%,1/4W,Carbon Film,Resistor 100 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT100R,Digi-key,CF14JT100RCT-ND,Yageo,CFR-25BJ-52-100R,Digi-key,100QBK-ND,Stackpole Electronics Inc.,CFF14JT100R,Digi-key,CFF14JT100RCT-ND
RESCRFL-0026,Resistor,PTH-2.3x6mm Axial,120,5%,1/4W,Carbon Film,Resistor 120 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT120R,Digi-key,CF14JT120RCT-ND,Yageo,CFR-25BJ-52-120R,Digi-key,120QBK-ND,Stackpole Electronics Inc.,CFF14JT120R,Digi-key,CFF14JT120RCT-ND
RESCRFL-0027,Resistor,PTH-2.3x6mm Axial,150,5%,1/4W,Carbon Film,Resistor 150 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT150R,Digi-key,CF14JT150RCT-ND,Yageo,CFR-25BJ-52-150R,Digi-key,150QBK-ND,Stackpole Electronics Inc.,CFF14JT150R,Digi-key,CFF14JT150RCT-ND
RESCRFL-0028,Resistor,PTH-2.3x6mm Axial,180,5%,1/4W,Carbon Film,Resistor 180 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT180R,Digi-key,CF14JT180RCT-ND,Yageo,CFR-25BJ-52-180R,Digi-key,180QBK-ND,Stackpole Electronics Inc.,CFF14JT180R,Digi-key,CFF14JT180RCT-ND
RESCRFL-0029,Resistor,PTH-2.3x6mm Axial,220,5%,1/4W,Carbon Film,Resistor 220 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT220R,Digi-key,CF14JT220RCT-ND,Yageo,CFR-25BJ-52-220R,Digi-key,220QBK-ND,Stackpole Electronics Inc.,CFF14JT220R,Digi-key,CFF14JT220RCT-ND
RESCRFL-0030,Resistor,PTH-2.3x6mm Axial,270,5%,1/4W,Carbon Film,Resistor 270 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT270R,Digi-key,CF14JT270RCT-ND,Yageo,CFR-25BJ-52-270R,Digi-key,270QBK-ND,Stackpole Electronics Inc.,CFF14JT270R,Digi-key,CFF14JT270RCT-ND
RESCRFL-0031,Resistor,PTH-2.3x6mm Axial,330,5%,1/4W,Carbon Film,Resistor 330 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT330R,Digi-key,CF14JT330RCT-ND,Yageo,CFR-25BJ-52-330R,Digi-key,330QBK-ND,Stackpole Electronics Inc.,CFF14JT330R,Digi-key,CFF14JT330RCT-ND
RESCRFL-0032,Resistor,PTH-2.3x6mm Axial,390,5%,1/4W,Carbon Film,Resistor 390 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT390R,Digi-key,CF14JT390RCT-ND,Yageo,CFR-25BJ-52-390R,Digi-key,390QBK-ND,Stackpole Electronics Inc.,CFF14JT390R,Digi-key,CFF14JT390RCT-ND
RESCRFL-0033,Resistor,PTH-2.3x6mm Axial,470,5%,1/4W,Carbon Film,Resistor 470 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT470R,Digi-key,CF14JT470RCT-ND,Yageo,CFR-25BJ-52-470R,Digi-key,470QBK-ND,Stackpole Electronics Inc.,CFF14JT470R,Digi-key,CFF14JT470RCT-ND
RESCRFL-0034,Resistor,PTH-2.3x6mm Axial,560,5%,1/4W,Carbon Film,Resistor 560 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT560R,Digi-key,CF14JT560RCT-ND,Yageo,CFR-25BJ-52-560R,Digi-key,560QBK-ND,Stackpole Electronics Inc.,CFF14JT560R,Digi-key,CFF14JT560RCT-ND
RESCRFL-0035,Resistor,PTH-2.3x6mm Axial,680,5%,1/4W,Carbon Film,Resistor 680 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT680R,Digi-key,CF14JT680RCT-ND,Yageo,CFR-25BJ-52-680R,Digi-key,680QBK-ND,Stackpole Electronics Inc.,CFF14JT680R,Digi-key,CFF14JT680RCT-ND
RESCRFL-0036,Resistor,PTH-2.3x6mm Axial,820,5%,1/4W,Carbon Film,Resistor 820 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT820R,Digi-key,CF14JT820RCT-ND,Yageo,CFR-25BJ-52-820R,Digi-key,820QBK-ND,Stackpole Electronics Inc.,CFF14JT820R,Digi-key,CFF14JT820RCT-ND
RESCRFL-0037,Resistor,PTH-2.3x6mm Axial,1.0K,5%,1/4W,Carbon Film,Resistor 1.0K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1K00,Digi-key,CF14JT1K00CT-ND,Yageo,CFR-25BJ-52-1K,Digi-key,1.0KQBK-ND,Stackpole Electronics Inc.,CFF14JT1K00,Digi-key,CFF14JT1K00CT-ND
RESCRFL-0038,Resistor,PTH-2.3x6mm Axial,1.2K,5%,1/4W,Carbon Film,Resistor 1.2K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1K20,Digi-key,CF14JT1K20CT-ND,Yageo,CFR-25BJ-52-1K2,Digi-key,1.2KQBK-ND,Stackpole Electronics Inc.,CFF14JT1K20,Digi-key,CFF14JT1K20CT-ND
RESCRFL-0039,Resistor,PTH-2.3x6mm Axial,1.5K,5%,1/4W,Carbon Film,Resistor 1.5K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1K50,Digi-key,CF14JT1K50CT-ND,Yageo,CFR-25BJ-52-1K5,Digi-key,1.5KQBK-ND,Stackpole Electronics Inc.,CFF14JT1K50,Digi-key,CFF14JT1K50CT-ND
RESCRFL-0040,Resistor,PTH-2.3x6mm Axial,1.8K,5%,1/4W,Carbon Film,Resistor 1.8K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1K80,Digi-key,CF14JT1K80CT-ND,Yageo,CFR-25BJ-52-1K8,Digi-key,1.8KQBK-ND,Stackpole Electronics Inc.,CFF14JT1K80,Digi-key,CFF14JT1K80CT-ND
RESCRFL-0041,Resistor,PTH-2.3x6mm Axial,2.2K,5%,1/4W,Carbon Film,Resistor 2.2K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT2K20,Digi-key,CF14JT2K20CT-ND,Yageo,CFR-25BJ-52-2K2,Digi-key,2.2KQBK-ND,Stackpole Electronics Inc.,CFF14JT2K20,Digi-key,CFF14JT2K20CT-ND
RESCRFL-0042,Resistor,PTH-2.3x6mm Axial,2.7K,5%,1/4W,Carbon Film,Resistor 2.7K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT2K70,Digi-key,CF14JT2K70CT-ND,Yageo,CFR-25BJ-52-2K7,Digi-key,2.7KQBK-ND,Stackpole Electronics Inc.,CFF14JT2K70,Digi-key,CFF14JT2K70CT-ND
RESCRFL-0043,Resistor,PTH-2.3x6mm Axial,3.3K,5%,1/4W,Carbon Film,Resistor 3.3K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT3K30,Digi-key,CF14JT3K30CT-ND,Yageo,CFR-25BJ-52-3K3,Digi-key,3.3KQBK-ND,Stackpole Electronics Inc.,CFF14JT3K30,Digi-key,CFF14JT3K30CT-ND
RESCRFL-0044,Resistor,PTH-2.3x6mm Axial,3.9K,5%,1/4W,Carbon Film,Resistor 3.9K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT3K90,Digi-key,CF14JT3K39CT-ND,Yageo,CFR-25BJ-52-3K9,Digi-key,3.9KQBK-ND,Stackpole Electronics Inc.,CFF14JT3K90,Digi-key,CFF14JT3K90CT-ND
RESCRFL-0045,Resistor,PTH-2.3x6mm Axial,4.7K,5%,1/4W,Carbon Film,Resistor 4.7K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT4K70,Digi-key,CF14JT4K70CT-ND,Yageo,CFR-25BJ-52-4K7,Digi-key,4.7KQBK-ND,Stackpole Electronics Inc.,CFF14JT4K70,Digi-key,CFF14JT4K70CT-ND
RESCRFL-0046,Resistor,PTH-2.3x6mm Axial,5.6K,5%,1/4W,Carbon Film,Resistor 5.6K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT5K60,Digi-key,CF14JT5K60CT-ND,Yageo,CFR-25BJ-52-5K6,Digi-key,5.6KQBK-ND,Stackpole Electronics Inc.,CFF14JT5K60,Digi-key,CFF14JT5K60CT-ND
RESCRFL-0047,Resistor,PTH-2.3x6mm Axial,6.8K,5%,1/4W,Carbon Film,Resistor 6.8K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT6K80,Digi-key,CF14JT6K80CT-ND,Yageo,CFR-25BJ-52-6K8,Digi-key,6.8KQBK-ND,Stackpole Electronics Inc.,CFF14JT6K80,Digi-key,CFF14JT6K80CT-ND
RESCRFL-0048,Resistor,PTH-2.3x6mm Axial,8.2K,5%,1/4W,Carbon Film,Resistor 8.2K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT8K20,Digi-key,CF14JT8K20CT-ND,Yageo,CFR-25BJ-52-8K2,Digi-key,8.2KQBK-ND,Stackpole Electronics Inc.,CFF14JT8K20,Digi-key,CFF14JT8K20CT-ND
RESCRFL-0049,Resistor,PTH-2.3x6mm Axial,10K,5%,1/4W,Carbon Film,Resistor 10K 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT10K0,Digi-key,CF14JT10K0CT-ND,Yageo,CFR-25BJ-52-10K,Digi-key,10KQBK-ND,Stackpole Electronics Inc.,CFF14JT10K0,Digi-key,CFF14JT10K0CT-ND
