Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref 1,Footprint Path 1,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RESCRFL-0001,Resistor,PTH-2.3x6mm Axial,1.0,5%,1/4W,Carbon Film,Resistor 1.0 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1R00,Digi-key,CF14JT1R00CT-ND,Yageo,CFR-25BJ-52-1R,Digi-key,1.0QBK-ND,Stackpole Electronics Inc.,CFF14JT1R00,Digi-key,CFF14JT1R00CT-ND
RESCRFL-0002,Resistor,PTH-2.3x6mm Axial,1.2,5%,1/4W,Carbon Film,Resistor 1.2 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1R20,Digi-key,CF14JT1R20CT-ND,Yageo,CFR-25BJ-52-1R2,Digi-key,1.2QBK-ND,Stackpole Electronics Inc.,CFF14JT1R20,Digi-key,CFF14JT1R20CT-ND
RESCRFL-0003,Resistor,PTH-2.3x6mm Axial,1.5,5%,1/4W,Carbon Film,Resistor 1.5 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1R50,Digi-key,CF14JT1R50CT-ND,Yageo,CFR-25BJ-52-1R5,Digi-key,1.5QBK-ND,Stackpole Electronics Inc.,CFF14JT1R50,Digi-key,CFF14JT1R50CT-ND
RESCRFL-0004,Resistor,PTH-2.3x6mm Axial,1.8,5%,1/4W,Carbon Film,Resistor 1.8 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT1R80,Digi-key,CF14JT1R80CT-ND,Yageo,CFR-25BJ-52-1R8,Digi-key,1.8QBK-ND,Stackpole Electronics Inc.,CFF14JT1R80,Digi-key,CFF14JT1R80CT-ND
RESCRFL-0005,Resistor,PTH-2.3x6mm Axial,2.2,5%,1/4W,Carbon Film,Resistor 2.2 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT2R20,Digi-key,CF14JT2R20CT-ND,Yageo,CFR-25BJ-52-2R2,Digi-key,2.2QBK-ND,Stackpole Electronics Inc.,CFF14JT2R20,Digi-key,CFF14JT2R20CT-ND
RESCRFL-0006,Resistor,PTH-2.3x6mm Axial,2.7,5%,1/4W,Carbon Film,Resistor 2.7 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT2R70,Digi-key,CF14JT2R70CT-ND,Yageo,CFR-25BJ-52-2R7,Digi-key,2.7QBK-ND,Stackpole Electronics Inc.,CFF14JT2R70,Digi-key,CFF14JT2R70CT-ND
RESCRFL-0007,Resistor,PTH-2.3x6mm Axial,3.3,5%,1/4W,Carbon Film,Resistor 3.3 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT3R30,Digi-key,CF14JT3R30CT-ND,Yageo,CFR-25BJ-52-3R3,Digi-key,3.3QBK-ND,Stackpole Electronics Inc.,CFF14JT3R30,Digi-key,CFF14JT3R30CT-ND
RESCRFL-0008,Resistor,PTH-2.3x6mm Axial,3.9,5%,1/4W,Carbon Film,Resistor 3.9 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT3R90,Digi-key,CF14JT3R39CT-ND,Yageo,CFR-25BJ-52-3R9,Digi-key,3.9QBK-ND,Stackpole Electronics Inc.,CFF14JT3R90,Digi-key,CFF14JT3R90CT-ND
RESCRFL-0009,Resistor,PTH-2.3x6mm Axial,4.7,5%,1/4W,Carbon Film,Resistor 4.7 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT4R70,Digi-key,CF14JT4R70CT-ND,Yageo,CFR-25BJ-52-4R7,Digi-key,4.7QBK-ND,Stackpole Electronics Inc.,CFF14JT4R70,Digi-key,CFF14JT4R70CT-ND
RESCRFL-0010,Resistor,PTH-2.3x6mm Axial,5.6,5%,1/4W,Carbon Film,Resistor 5.6 5% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,CF14JT5R60,Digi-key,CF14JT5R60CT-ND,Yageo,CFR-25BJ-52-5R6,Digi-key,5.6QBK-ND,Stackpole Electronics Inc.,CFF14JT5R60,Digi-key,CFF14JT5R60CT-ND
