Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RES0402-0001,Resistor,SMT-0402,0.00,1%,1/16W,Thick Film,Resistor 0.00 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04020000Z0ED,Digikey,541-0.0JCT-ND,Samsung,RC1005J000CS,Digikey,1276-3480-1-ND,Stackpole Electronics,RMCF0402ZT0R00,Digikey,RMCF0402ZT0R00CT-ND
RES0402-0002,Resistor,SMT-0402,1.00,1%,1/16W,Thick Film,Resistor 1.00 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R00FKED,Digikey,541-1.00LLCT-ND,Samsung,RC1005F1R0CS,Digikey,1276-3858-1-ND,Stackpole Electronics,RMCF0402FT1R00,Digikey,RMCF0402FT1R00CT-ND
RES0402-0003,Resistor,SMT-0402,1.02,1%,1/16W,Thick Film,Resistor 1.02 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R02FKED,Digikey,541-1.02LLCT-ND,,,,,,,,
RES0402-0004,Resistor,SMT-0402,1.05,1%,1/16W,Thick Film,Resistor 1.05 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R05FKED,Digikey,541-1.05LLCT-ND,,,,,,,,
RES0402-0005,Resistor,SMT-0402,1.07,1%,1/16W,Thick Film,Resistor 1.07 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R07FKED,Digikey,541-1.07LLCT-ND,,,,,,,,
RES0402-0006,Resistor,SMT-0402,1.10,1%,1/16W,Thick Film,Resistor 1.10 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R10FKED,Digikey,541-1.10LLCT-ND,Samsung,RC1005F1R1CS,Digikey,1276-3859-1-ND,,,,
RES0402-0007,Resistor,SMT-0402,1.13,1%,1/16W,Thick Film,Resistor 1.13 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R13FKED,Digikey,541-1.13LLCT-ND,,,,,,,,
RES0402-0008,Resistor,SMT-0402,1.15,1%,1/16W,Thick Film,Resistor 1.15 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R15FKED,Digikey,541-1.15LLCT-ND,,,,,,,,
RES0402-0009,Resistor,SMT-0402,1.18,1%,1/16W,Thick Film,Resistor 1.18 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R18FKED,Digikey,541-1.18LLCT-ND,,,,,,,,
RES0402-0010,Resistor,SMT-0402,1.20,1%,1/16W,Thick Film,Resistor 1.20 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R20FKED,Digikey,541-1.20LLCT-ND,Samsung,RC1005F1R2CS,Digikey,1276-3860-1-ND,,,,
RES0402-0011,Resistor,SMT-0402,1.21,1%,1/16W,Thick Film,Resistor 1.21 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R21FKED,Digikey,541-1.21LLCT-ND,,,,,,,,
RES0402-0012,Resistor,SMT-0402,1.24,1%,1/16W,Thick Film,Resistor 1.24 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R24FKED,Digikey,541-1.24LLCT-ND,,,,,,,,
RES0402-0013,Resistor,SMT-0402,1.27,1%,1/16W,Thick Film,Resistor 1.27 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R27FKED,Digikey,541-1.27LLCT-ND,,,,,,,,
