Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RES0402-0014,Resistor,SMT-0402,1.30,1%,1/16W,Thick Film,Resistor 1.30 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R30FKED,Digikey,541-1.30LLCT-ND,Samsung,RC1005F1R3CS,Digikey,1276-3861-1-ND,,,,
RES0402-0015,Resistor,SMT-0402,1.33,1%,1/16W,Thick Film,Resistor 1.33 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R33FKED,Digikey,541-1.33LLCT-ND,,,,,,,,
RES0402-0016,Resistor,SMT-0402,1.37,1%,1/16W,Thick Film,Resistor 1.37 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R37FKED,Digikey,541-1.37LLCT-ND,,,,,,,,
RES0402-0017,Resistor,SMT-0402,1.40,1%,1/16W,Thick Film,Resistor 1.40 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R40FKED,Digikey,541-1.40LLCT-ND,,,,,,,,
RES0402-0018,Resistor,SMT-0402,1.43,1%,1/16W,Thick Film,Resistor 1.43 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R43FKED,Digikey,541-1.43LLCT-ND,,,,,,,,
RES0402-0019,Resistor,SMT-0402,1.47,1%,1/16W,Thick Film,Resistor 1.47 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R47FKED,Digikey,541-1.47LLCT-ND,,,,,,,,
RES0402-0020,Resistor,SMT-0402,1.50,1%,1/16W,Thick Film,Resistor 1.50 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R50FKED,Digikey,541-1.50LLCT-ND,Samsung,RC1005F1R5CS,Digikey,1276-3862-1-ND,,,,
RES0402-0021,Resistor,SMT-0402,1.54,1%,1/16W,Thick Film,Resistor 1.54 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R54FKED,Digikey,541-1.54LLCT-ND,,,,,,,,
RES0402-0022,Resistor,SMT-0402,1.58,1%,1/16W,Thick Film,Resistor 1.58 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R58FKED,Digikey,541-1.58LLCT-ND,,,,,,,,
RES0402-0023,Resistor,SMT-0402,1.60,1%,1/16W,Thick Film,Resistor 1.60 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R60FKED,Digikey,541-1.60LLCT-ND,,,,,,,,
RES0402-0024,Resistor,SMT-0402,1.62,1%,1/16W,Thick Film,Resistor 1.62 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R62FKED,Digikey,541-1.62LLCT-ND,,,,,,,,
RES0402-0025,Resistor,SMT-0402,1.65,1%,1/16W,Thick Film,Resistor 1.65 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R65FKED,Digikey,541-1.65LLCT-ND,,,,,,,,
RES0402-0026,Resistor,SMT-0402,1.69,1%,1/16W,Thick Film,Resistor 1.69 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R69FKED,Digikey,541-1.69LLCT-ND,,,,,,,,
RES0402-0027,Resistor,SMT-0402,1.74,1%,1/16W,Thick Film,Resistor 1.74 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R74FKED,Digikey,541-1.74LLCT-ND,Samsung,RC1005F1R74CS,Digikey,1276-3863-1-ND,,,,
RES0402-0028,Resistor,SMT-0402,1.78,1%,1/16W,Thick Film,Resistor 1.78 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R78FKED,Digikey,541-1.78LLCT-ND,,,,,,,,
RES0402-0029,Resistor,SMT-0402,1.80,1%,1/16W,Thick Film,Resistor 1.80 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R80FKED,Digikey,541-1.80LLCT-ND,Samsung,RC1005F1R8CS,Digikey,1276-3864-1-ND,,,,
RES0402-0030,Resistor,SMT-0402,1.82,1%,1/16W,Thick Film,Resistor 1.82 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R82FKED,Digikey,541-1.82LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT1R82,Digikey,RMCF0402FT1R82CT-ND
RES0402-0031,Resistor,SMT-0402,1.87,1%,1/16W,Thick Film,Resistor 1.87 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R87FKED,Digikey,541-1.87LLCT-ND,,,,,,,,
RES0402-0032,Resistor,SMT-0402,1.91,1%,1/16W,Thick Film,Resistor 1.91 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R91FKED,Digikey,541-1.91LLCT-ND,,,,,,,,
RES0402-0033,Resistor,SMT-0402,1.96,1%,1/16W,Thick Film,Resistor 1.96 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04021R96FKED,Digikey,541-1.96LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT1R96,Digikey,RMCF0402FT1R96CT-ND
RES0402-0034,Resistor,SMT-0402,2.00,1%,1/16W,Thick Film,Resistor 2.00 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R00FKED,Digikey,541-2.00LLCT-ND,Samsung,RC1005F2R0CS,Digikey,1276-3865-1-ND,Stackpole Electronics,RMCF0402FT2R00,Digikey,RMCF0402FT2R00CT-ND
RES0402-0035,Resistor,SMT-0402,2.05,1%,1/16W,Thick Film,Resistor 2.05 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R05FKED,Digikey,541-2.05LLCT-ND,,,,,,,,
RES0402-0036,Resistor,SMT-0402,2.10,1%,1/16W,Thick Film,Resistor 2.10 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R10FKED,Digikey,541-2.10LLCT-ND,,,,,,,,
RES0402-0037,Resistor,SMT-0402,2.15,1%,1/16W,Thick Film,Resistor 2.15 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R15FKED,Digikey,541-2.15LLCT-ND,,,,,,,,
RES0402-0038,Resistor,SMT-0402,2.20,1%,1/16W,Thick Film,Resistor 2.20 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R20FKED,Digikey,541-2.20LLCT-ND,Samsung,RC1005F2R2CS,Digikey,1276-3866-1-ND,Stackpole Electronics,RMCF0402FT2R20,Digikey,RMCF0402FT2R20CT-ND
RES0402-0039,Resistor,SMT-0402,2.21,1%,1/16W,Thick Film,Resistor 2.21 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R21FKED,Digikey,541-2.21LLCT-ND,,,,,,,,
RES0402-0040,Resistor,SMT-0402,2.26,1%,1/16W,Thick Film,Resistor 2.26 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R26FKED,Digikey,541-2.26LLCT-ND,,,,,,,,
RES0402-0041,Resistor,SMT-0402,2.32,1%,1/16W,Thick Film,Resistor 2.32 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R32FKED,Digikey,541-2.32LLCT-ND,,,,,,,,
RES0402-0042,Resistor,SMT-0402,2.37,1%,1/16W,Thick Film,Resistor 2.37 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R37FKED,Digikey,541-2.37LLCT-ND,,,,,,,,
RES0402-0043,Resistor,SMT-0402,2.40,1%,1/16W,Thick Film,Resistor 2.40 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R40FKED,Digikey,541-2.40LLCT-ND,,,,,,,,
RES0402-0044,Resistor,SMT-0402,2.43,1%,1/16W,Thick Film,Resistor 2.43 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R43FKED,Digikey,541-2.43LLCT-ND,,,,,,,,
RES0402-0045,Resistor,SMT-0402,2.49,1%,1/16W,Thick Film,Resistor 2.49 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R49FKED,Digikey,541-2.49LLCT-ND,,,,,,,,
RES0402-0046,Resistor,SMT-0402,2.55,1%,1/16W,Thick Film,Resistor 2.55 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R55FKED,Digikey,541-2.55LLCT-ND,,,,,,,,
RES0402-0047,Resistor,SMT-0402,2.61,1%,1/16W,Thick Film,Resistor 2.61 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R61FKED,Digikey,541-2.61LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT2R61,Digikey,RMCF0402FT2R61CT-ND
RES0402-0048,Resistor,SMT-0402,2.67,1%,1/16W,Thick Film,Resistor 2.67 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R67FKED,Digikey,541-2.67LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT2R67,Digikey,RMCF0402FT2R67CT-ND
RES0402-0049,Resistor,SMT-0402,2.70,1%,1/16W,Thick Film,Resistor 2.70 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R70FKED,Digikey,541-2.70LLCT-ND,Samsung,RC1005F2R7CS,Digikey,1276-3867-1-ND,Stackpole Electronics,RMCF0402FT2R70,Digikey,RMCF0402FT2R70CT-ND
RES0402-0050,Resistor,SMT-0402,2.74,1%,1/16W,Thick Film,Resistor 2.74 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R74FKED,Digikey,541-2.74LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT2R74,Digikey,RMCF0402FT2R74CT-ND
RES0402-0051,Resistor,SMT-0402,2.80,1%,1/16W,Thick Film,Resistor 2.80 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R80FKED,Digikey,541-2.80LLCT-ND,,,,,,,,
RES0402-0052,Resistor,SMT-0402,2.87,1%,1/16W,Thick Film,Resistor 2.87 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R87FKED,Digikey,541-2.87LLCT-ND,,,,,,,,
RES0402-0053,Resistor,SMT-0402,2.94,1%,1/16W,Thick Film,Resistor 2.94 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04022R94FKED,Digikey,541-2.94LLCT-ND,,,,,,,,
RES0402-0054,Resistor,SMT-0402,3.00,1%,1/16W,Thick Film,Resistor 3.00 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R00FKED,Digikey,541-3.00LLCT-ND,Samsung,RC1005F3R0CS,Digikey,1276-3868-1-ND,,,,
RES0402-0055,Resistor,SMT-0402,3.01,1%,1/16W,Thick Film,Resistor 3.01 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R01FKED,Digikey,541-3.01LLCT-ND,Samsung,RC1005F3R01CS,Digikey,1276-3869-1-ND,Stackpole Electronics,RMCF0402FT3R01,Digikey,RMCF0402FT3R01CT-ND
RES0402-0056,Resistor,SMT-0402,3.09,1%,1/16W,Thick Film,Resistor 3.09 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R09FKED,Digikey,541-3.09LLCT-ND,,,,,,,,
RES0402-0057,Resistor,SMT-0402,3.16,1%,1/16W,Thick Film,Resistor 3.16 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R16FKED,Digikey,541-3.16LLCT-ND,,,,,,,,
RES0402-0058,Resistor,SMT-0402,3.24,1%,1/16W,Thick Film,Resistor 3.24 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R24FKED,Digikey,541-3.24LLCT-ND,,,,,,,,
RES0402-0059,Resistor,SMT-0402,3.30,1%,1/16W,Thick Film,Resistor 3.30 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R30FKED,Digikey,541-3.30LLCT-ND,Samsung,RC1005F3R3CS,Digikey,1276-3870-1-ND,Stackpole Electronics,RMCF0402FT3R30,Digikey,RMCF0402FT3R30CT-ND
RES0402-0060,Resistor,SMT-0402,3.32,1%,1/16W,Thick Film,Resistor 3.32 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R32FKED,Digikey,541-3.32LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT3R32,Digikey,RMCF0402FT3R32CT-ND
RES0402-0061,Resistor,SMT-0402,3.40,1%,1/16W,Thick Film,Resistor 3.40 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R40FKED,Digikey,541-3.40LLCT-ND,,,,,,,,
RES0402-0062,Resistor,SMT-0402,3.48,1%,1/16W,Thick Film,Resistor 3.48 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R48FKED,Digikey,541-3.48LLCT-ND,,,,,,,,
RES0402-0063,Resistor,SMT-0402,3.57,1%,1/16W,Thick Film,Resistor 3.57 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R57FKED,Digikey,541-3.57LLCT-ND,,,,,,,,
RES0402-0064,Resistor,SMT-0402,3.60,1%,1/16W,Thick Film,Resistor 3.60 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R60FKED,Digikey,541-3.60LLCT-ND,Samsung,RC1005F3R6CS,Digikey,1276-3871-1-ND,,,,
RES0402-0065,Resistor,SMT-0402,3.65,1%,1/16W,Thick Film,Resistor 3.65 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R65FKED,Digikey,541-3.65LLCT-ND,,,,,,,,
RES0402-0066,Resistor,SMT-0402,3.74,1%,1/16W,Thick Film,Resistor 3.74 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R74FKED,Digikey,541-3.74LLCT-ND,,,,,,,,
RES0402-0067,Resistor,SMT-0402,3.83,1%,1/16W,Thick Film,Resistor 3.83 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R83FKED,Digikey,541-3.83LLCT-ND,,,,,,,,
RES0402-0068,Resistor,SMT-0402,3.90,1%,1/16W,Thick Film,Resistor 3.90 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R90FKED,Digikey,541-3.90LLCT-ND,Samsung,RC1005F3R9CS,Digikey,1276-3872-1-ND,,,,
RES0402-0069,Resistor,SMT-0402,3.92,1%,1/16W,Thick Film,Resistor 3.92 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04023R92FKED,Digikey,541-3.92LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT3R92,Digikey,RMCF0402FT3R92CT-ND
RES0402-0070,Resistor,SMT-0402,4.02,1%,1/16W,Thick Film,Resistor 4.02 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R02FKED,Digikey,541-4.02LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT4R02,Digikey,RMCF0402FT4R02CT-ND
RES0402-0071,Resistor,SMT-0402,4.12,1%,1/16W,Thick Film,Resistor 4.12 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R12FKED,Digikey,541-4.12LLCT-ND,,,,,,,,
RES0402-0072,Resistor,SMT-0402,4.22,1%,1/16W,Thick Film,Resistor 4.22 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R22FKED,Digikey,541-4.22LLCT-ND,,,,,,,,
RES0402-0073,Resistor,SMT-0402,4.30,1%,1/16W,Thick Film,Resistor 4.30 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R30FKED,Digikey,541-4.30LLCT-ND,Samsung,RC1005F4R3CS,Digikey,1276-3873-1-ND,,,,
RES0402-0074,Resistor,SMT-0402,4.32,1%,1/16W,Thick Film,Resistor 4.32 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R32FKED,Digikey,541-4.32LLCT-ND,,,,,,,,
RES0402-0075,Resistor,SMT-0402,4.42,1%,1/16W,Thick Film,Resistor 4.42 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R42FKED,Digikey,541-4.42LLCT-ND,,,,,,,,
RES0402-0076,Resistor,SMT-0402,4.53,1%,1/16W,Thick Film,Resistor 4.53 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R53FKED,Digikey,541-4.53LLCT-ND,,,,,,,,
RES0402-0077,Resistor,SMT-0402,4.64,1%,1/16W,Thick Film,Resistor 4.64 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R64FKED,Digikey,541-4.64LLCT-ND,,,,,,,,
RES0402-0078,Resistor,SMT-0402,4.70,1%,1/16W,Thick Film,Resistor 4.70 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R70FKED,Digikey,541-4.70LLCT-ND,Samsung,RC1005F4R7CS,Digikey,1276-3874-1-ND,Stackpole Electronics,RMCF0402FT4R70,Digikey,RMCF0402FT4R70CT-ND
RES0402-0079,Resistor,SMT-0402,4.75,1%,1/16W,Thick Film,Resistor 4.75 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R75FKED,Digikey,541-4.75LLCT-ND,Samsung,RC1005F4R75CS,Digikey,1276-3875-1-ND,Stackpole Electronics,RMCF0402FT4R75,Digikey,RMCF0402FT4R75CT-ND
RES0402-0080,Resistor,SMT-0402,4.87,1%,1/16W,Thick Film,Resistor 4.87 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R87FKED,Digikey,541-4.87LLCT-ND,,,,,,,,
RES0402-0081,Resistor,SMT-0402,4.99,1%,1/16W,Thick Film,Resistor 4.99 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04024R99FKED,Digikey,541-4.99LLCT-ND,,,,,Stackpole Electronics,RMCF0402FT4R99,Digikey,RMCF0402FT4R99CT-ND
RES0402-0082,Resistor,SMT-0402,5.10,1%,1/16W,Thick Film,Resistor 5.10 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04025R10FKED,Digikey,541-5.10LLCT-ND,Samsung,RC1005F5R1CS,Digikey,1276-3876-1-ND,,,,
RES0402-0083,Resistor,SMT-0402,5.11,1%,1/16W,Thick Film,Resistor 5.11 1% 1/16W SMT-0402,Resistor,..\Schematic\Symbols.SchLib,0402,..\PCB\footprints.PcbLib,Vishay Dale,CRCW04025R11FKED,Digikey,541-5.11LLCT-ND,Samsung,RC1005F5R11CS,Digikey,1276-3877-1-ND,Stackpole Electronics,RMCF0402FT5R11,Digikey,RMCF0402FT5R11CT-ND
